model,condition,entropy,perplexity,load_cv,settling_time
Nomadic_Full,clean,0.0939451336976461,1.0592065294282622,0.0,40.0
Nomadic_Full,noisy,0.050641095174796646,1.0244691998792694,0.0,40.0
MoD,clean,0.08561428293099835,1.055923071076474,0.099999999995,2.4375
MoD,noisy,0.039578528944806915,1.0129557940373253,0.2499999999875,2.4375
ECR,clean,0.2222537688910961,1.1069072818173418,0.6041522986344171,1.6956521739130435
ECR,noisy,0.3354377269744873,1.1781424487519032,0.0499999999975,2.1666666666666665
Sigma_MoE,clean,0.06462743232686011,1.0337979211553492,1.3379088158252785,1.5454545454545454
Sigma_MoE,noisy,0.12373280825852077,1.0788859587231694,0.7356969484229307,2.1666666666666665
BiLevel_MoE,clean,0.026343770530990566,1.0057253767835397,0.4499999999775,2.4375
BiLevel_MoE,noisy,0.08312611596316843,1.0545568559582,0.8499999999575,8.5
RoutingFree_MoE,clean,0.32767384228936863,1.2212344131683186,0.8874119672430895,1.0833333333333333
RoutingFree_MoE,noisy,0.19122825837694107,1.162618945103365,0.7582875442345404,1.0263157894736843
