model,prompt_head,pre_mean_dx,lure_mean_dx,post_mean_dx,lure_spike,recovery_steps
Nomadic_Full,Let us compute the integral of e^x ,0.18488459694473183,0.21661150294610046,0.14233543437260848,0.03172690600136863,1
Nomadic_Full,피타고라스 정리에 의하면 직각삼각형의 빗변의 제곱은,0.2558394384227301,0.27735820126741434,0.16704501062631608,0.021518762844684236,1
Nomadic_Full,The eigenvalues of a symmetric matr,0.21915754117071629,0.22743714241118268,0.22410464401428515,0.008279601240466394,3
MoD,Let us compute the integral of e^x ,0.18488459694473183,0.21661150294610046,0.14233543437260848,0.03172690600136863,1
MoD,피타고라스 정리에 의하면 직각삼각형의 빗변의 제곱은,0.2558394384227301,0.27735820126741434,0.16704501062631608,0.021518762844684236,1
MoD,The eigenvalues of a symmetric matr,0.21915754117071629,0.22743714241118268,0.22410464401428515,0.008279601240466394,3
ECR,Let us compute the integral of e^x ,0.18488459694473183,0.21661150294610046,0.14233543437260848,0.03172690600136863,1
ECR,피타고라스 정리에 의하면 직각삼각형의 빗변의 제곱은,0.2558394384227301,0.27735820126741434,0.16704501062631608,0.021518762844684236,1
ECR,The eigenvalues of a symmetric matr,0.21915754117071629,0.22743714241118268,0.22410464401428515,0.008279601240466394,3
Sigma_MoE,Let us compute the integral of e^x ,0.18488459694473183,0.21661150294610046,0.14233543437260848,0.03172690600136863,1
Sigma_MoE,피타고라스 정리에 의하면 직각삼각형의 빗변의 제곱은,0.2558394384227301,0.27735820126741434,0.16704501062631608,0.021518762844684236,1
Sigma_MoE,The eigenvalues of a symmetric matr,0.21915754117071629,0.22743714241118268,0.22410464401428515,0.008279601240466394,3
BiLevel_MoE,Let us compute the integral of e^x ,0.18488459694473183,0.21661150294610046,0.14233543437260848,0.03172690600136863,1
BiLevel_MoE,피타고라스 정리에 의하면 직각삼각형의 빗변의 제곱은,0.2558394384227301,0.27735820126741434,0.16704501062631608,0.021518762844684236,1
BiLevel_MoE,The eigenvalues of a symmetric matr,0.21915754117071629,0.22743714241118268,0.22410464401428515,0.008279601240466394,3
RoutingFree_MoE,Let us compute the integral of e^x ,0.18488459694473183,0.21661150294610046,0.14233543437260848,0.03172690600136863,1
RoutingFree_MoE,피타고라스 정리에 의하면 직각삼각형의 빗변의 제곱은,0.2558394384227301,0.27735820126741434,0.16704501062631608,0.021518762844684236,1
RoutingFree_MoE,The eigenvalues of a symmetric matr,0.21915754117071629,0.22743714241118268,0.22410464401428515,0.008279601240466394,3
