model,domain,n_tokens,convergence_step,final_phi_mean,decay_rate
Nomadic_Full,math,410,410,0.1020573471195814,0.001422512072791899
Nomadic_Full,code,354,354,0.09061861258577293,0.0017875631813015738
Nomadic_Full,language,314,314,0.08377478319028067,0.0031983530760171033
MoD,math,410,410,0.1020573471195814,0.001422512072791899
MoD,code,354,354,0.09061861258577293,0.0017875631813015738
MoD,language,314,314,0.08377478319028067,0.0031983530760171033
ECR,math,410,410,0.1020573471195814,0.001422512072791899
ECR,code,354,354,0.09061861258577293,0.0017875631813015738
ECR,language,314,314,0.08377478319028067,0.0031983530760171033
Sigma_MoE,math,410,410,0.1020573471195814,0.001422512072791899
Sigma_MoE,code,354,354,0.09061861258577293,0.0017875631813015738
Sigma_MoE,language,314,314,0.08377478319028067,0.0031983530760171033
BiLevel_MoE,math,410,410,0.1020573471195814,0.001422512072791899
BiLevel_MoE,code,354,354,0.09061861258577293,0.0017875631813015738
BiLevel_MoE,language,314,314,0.08377478319028067,0.0031983530760171033
RoutingFree_MoE,math,410,410,0.1020573471195814,0.001422512072791899
RoutingFree_MoE,code,354,354,0.09061861258577293,0.0017875631813015738
RoutingFree_MoE,language,314,314,0.08377478319028067,0.0031983530760171033
