model,domain,entropy,perplexity,switch_rate,load_cv,load_entropy,settling_time,oscillation,phase
Nomadic_Full,math,0.13686587132003641,1.1214788401925055,0.375,0.3020761493172086,1.0552034654418139,2.6,0.05263157894736842,stable
Nomadic_NoDx,math,0.18764750203215783,1.211858378732894,0.05,0.9499999999525,0.11690684893753106,18.0,0.02631578947368421,stable
Nomadic_NoEnv,math,0.20422530411465045,1.190104163220366,0.25,1.688194301402389,0.5432925407827021,3.6,0.13157894736842105,stable
Nomadic_NoErr,math,0.24079493560673182,1.4592955923280684,0.25,0.35881750233327175,1.0372165871167396,3.9,0.02631578947368421,stable
Nomadic_Full,math,0.11575760988695363,1.4688259784055215,0.275,1.0024968826879215,0.9266617283925975,3.5454545454545454,0.05263157894736842,stable
Nomadic_NoDx,math,0.1500157619849189,1.22562339147864,0.0,0.0,-1.000000082690371e-10,40.0,0.0,stable
Nomadic_NoEnv,math,0.18795725573127126,1.1595445865541378,0.0,0.0,-1.000000082690371e-10,40.0,0.0,stable
Nomadic_NoErr,math,0.14676474164405193,1.0967888204720504,0.5,0.8689073597622475,0.9468123259852295,1.95,0.10526315789473684,stable
Nomadic_Full,code,0.1849717686202878,1.1706322936384659,0.3,0.6403124236472378,1.5713698892076082,3.25,0.0,stable
Nomadic_NoDx,code,0.08280046606054658,1.1350397836409907,0.0,0.0,-1.000000082690371e-10,40.0,0.0,stable
Nomadic_NoEnv,code,0.07605374881613061,1.035131319954487,0.0,0.0,-1.000000082690371e-10,40.0,0.0,stable
Nomadic_NoErr,code,0.11622980402843416,1.0733895491179577,0.2,0.9937303455933733,1.1705693917919286,4.875,0.02631578947368421,stable
Nomadic_Full,code,0.06181142813176348,1.0273434469947869,0.225,0.29999999997,1.3440752924146289,4.111111111111111,0.0,stable
Nomadic_NoDx,code,0.05215376842966881,1.0381679778440338,0.0,0.0,-1.000000082690371e-10,40.0,0.0,stable
Nomadic_NoEnv,code,0.052726056381898104,1.072264200685675,0.0,0.0,-1.000000082690371e-10,40.0,0.0,stable
Nomadic_NoErr,code,0.06026706509988426,1.0266155904662417,0.225,0.29999999997,1.3440752924146289,4.111111111111111,0.0,stable
Nomadic_Full,language,0.8652059895572848,3.1190407246569225,0.7,0.43011626330911973,1.2852343426776518,1.3928571428571428,0.23684210526315788,transition
Nomadic_NoDx,language,0.3642486695365675,1.3614144999721727,0.675,0.4636809247284171,1.2761125432288947,1.4444444444444444,0.13157894736842105,transition
Nomadic_NoEnv,language,0.47934621128656973,1.7259910468987336,0.65,0.3162277659852152,1.3350851646920203,1.5,0.18421052631578946,transition
Nomadic_NoErr,language,0.6162564413320986,1.902116484799309,0.7,0.6708203931660843,1.3674034940025905,1.3928571428571428,0.18421052631578946,transition
Nomadic_Full,language,0.38522483895259924,1.6356402947111488,0.675,0.8624094154252158,1.2672235089769748,1.4444444444444444,0.10526315789473684,transition
Nomadic_NoDx,language,0.39915968985911865,1.5087138821261459,0.625,0.5338539125481802,1.2357944378613932,1.52,0.13157894736842105,transition
Nomadic_NoEnv,language,0.3513604649654846,1.3369285808363625,0.725,0.4949747467810858,1.2510753143429134,1.3103448275862069,0.07894736842105263,transition
Nomadic_NoErr,language,0.6461625281170325,1.6883380768341172,0.675,0.4743416489778227,1.257600518330866,1.4074074074074074,0.10526315789473684,transition
