model,latency_ms,tokens_per_sec,est_flops,avg_tokens
Vanilla,156.42768422448893,6.392730320257371,385928656960.0,49.0
Nomadic_Blind,174.55555823467802,5.728835048258122,385928656960.0,49.0
Nomadic_Full,229.22772278571773,4.36247408366819,385928656960.0,49.0
MoD,266.6879441122565,3.7497008095069617,385928656960.0,49.0
ECR,294.43010574490177,3.396391810547728,385928656960.0,49.0
Sigma_MoE,936.3279109999653,1.0680019128237235,385928656960.0,49.0
BiLevel_MoE,258.324986489762,3.8710928180407755,385928656960.0,49.0
RoutingFree_MoE,395.112366000014,2.530925594842843,385928656960.0,49.0
Nomadic_NoDx,167.85053196939288,5.957681445184589,385928656960.0,49.0
Nomadic_NoEnv,180.09077115304387,5.552755388208445,385928656960.0,49.0
Nomadic_NoErr,215.57357486737453,4.638787479033793,385928656960.0,49.0
