model,domain,run,entropy,perplexity,repeat_rate,switch_rate,load_cv,load_entropy,gini,settling_time,oscillation,latency_ms,text,phase
Vanilla,math,0,0.933749070140766,1.9491345666813844,0.08333333333333337,0.0,0.0,0.0,0.0,0.0,0.0,162.70920179589183,24를 6으로 나누면 4가 남는다. 더 이상 빼낼 수가 없다. 이 몫이 최종 결과가 된다. 1이 남는 것이다. 더 이상 빼낼 것이 없기 때문이다. 이 ,stable
Nomadic_Blind,math,0,0.13994929078101456,1.0939503157093586,0.5,0.1,0.899999999955,0.1985152431458726,-0.04999999997375015,6.75,0.05263157894736842,186.08360602036333,24를 6으로 나누면 4가 나온다. 4를 6으로 나누면 0이 나온다. 4를 6으로 나누면 0이 나온다. 4를 6으로,stable
Nomadic_Full,math,0,0.18707609333304717,1.195253524067685,0.11764705882352944,0.2,0.873212459697667,1.4730285877730052,0.2583333333518749,4.875,0.0,209.58237789796394,24를 6으로 나누면 4이다. 4를 6으로 나누면 2이다. 2를 6으로 나누면 1이다. 더 이상 나누어지지 않는다. 결과가 1이다,stable
MoD,math,0,0.10323802302371073,1.0433813446326967,0.7142857142857143,0.475,0.552268050817943,0.926506602989533,-0.0333333333075001,2.0526315789473686,0.07894736842105263,275.9649787754936,24를 6으로 나누면 4이다. 24를 6으로 나누면 4이다. 24를 6으로 나누면 4이다. 24를 6으로 나누면 ,stable
ECR,math,0,0.6287235436394895,1.2742982917498882,0.0,0.475,1.3674794328784252,1.2491055661910961,0.46428571429910714,2.0526315789473686,0.05263157894736842,280.0034904285727,24를 6으로 나누면 4라는 나머지가 나온다. 즉 24가 6으로 정확히 나누어 떨어지는 것이다. 11을 3으로 나누면 3이라는 나머지가 나온다,stable
Sigma_MoE,math,0,0.264876696914439,1.684596992617528,0.0,0.525,0.9746794343590613,1.1398433519560343,0.3100000000172498,1.7142857142857142,0.13157894736842105,934.1756624898135,24를 6으로 나누면 4가 된다. 8을 3으로 나누면 2가 된다. 6을 1로 나누면 6이 된다. 1이 남는다. 1을,stable
BiLevel_MoE,math,0,0.07585535210818697,1.0268057249941376,0.0,0.45,0.7356969484229307,0.7534119979059704,0.06666666668999988,2.1666666666666665,0.15789473684210525,275.1485993877785,24를 6으로 나누면 4가 나온다. 따라서 6이다. 24를 8로 나누면 3이다. 따라서 8이다. 24를 12로 나누면 ,stable
RoutingFree_MoE,math,0,0.30479250683274584,1.284453556325314,0.0,0.925,0.7786205750225442,1.2938306821944379,0.21000000001974994,1.027027027027027,0.6052631578947368,385.7664249591501,24를 6으로 나누면 4이다. 따라서 6이다. 5이다. 3이다.이다.이다.이다.이다.이다.이다.이다.이다.이다.이다.이다.이다,stable
Nomadic_NoDx,math,0,0.14045404868041864,1.2876296258885016,0.375,0.1,0.899999999955,0.1985152431458726,-0.04999999997375015,6.75,0.05263157894736842,185.3657825918255,24를 6으로 나누면 4가 나온다. 4를 6으로 나누면 0이 나온다. 4를 6으로 나누면 0이 나온다. 24를 6,stable
Nomadic_NoEnv,math,0,0.15400375801830352,1.1752799063849928,0.125,0.1,0.899999999955,0.1985152431458726,-0.04999999997375015,6.75,0.05263157894736842,186.31778293876073,24를 6으로 나누면 4가 나온다. 4를 6으로 나누면 2가 나온다. 2를 6으로 나누면 0이 나온다. 6을 6으로,stable
