model,prompt_head,pre_mean_dx,lure_mean_dx,post_mean_dx,lure_spike,recovery_steps
Vanilla,Let us compute the integral of e^x ,0.44175862049793496,0.3818353421308778,0.37791384298067826,-0.05992327836705719,1
Vanilla,피타고라스 정리에 의하면 직각삼각형의 빗변의 제곱은,0.3891941365834914,0.3638941832753115,0.294614906112353,-0.025299953308179912,1
Vanilla,The eigenvalues of a symmetric matr,0.3648499670223548,0.3105280938847312,0.30797787526479137,-0.0543218731376236,3
Nomadic_Blind,Let us compute the integral of e^x ,0.44175862049793496,0.3818353421308778,0.37791384298067826,-0.05992327836705719,1
Nomadic_Blind,피타고라스 정리에 의하면 직각삼각형의 빗변의 제곱은,0.3891941365834914,0.3638941832753115,0.294614906112353,-0.025299953308179912,1
Nomadic_Blind,The eigenvalues of a symmetric matr,0.3648499670223548,0.3105280938847312,0.30797787526479137,-0.0543218731376236,3
Nomadic_Full,Let us compute the integral of e^x ,0.44175862049793496,0.3818353421308778,0.37791384298067826,-0.05992327836705719,1
Nomadic_Full,피타고라스 정리에 의하면 직각삼각형의 빗변의 제곱은,0.3891941365834914,0.3638941832753115,0.294614906112353,-0.025299953308179912,1
Nomadic_Full,The eigenvalues of a symmetric matr,0.3648499670223548,0.3105280938847312,0.30797787526479137,-0.0543218731376236,3
MoD,Let us compute the integral of e^x ,0.44175862049793496,0.3818353421308778,0.37791384298067826,-0.05992327836705719,1
MoD,피타고라스 정리에 의하면 직각삼각형의 빗변의 제곱은,0.3891941365834914,0.3638941832753115,0.294614906112353,-0.025299953308179912,1
MoD,The eigenvalues of a symmetric matr,0.3648499670223548,0.3105280938847312,0.30797787526479137,-0.0543218731376236,3
ECR,Let us compute the integral of e^x ,0.44175862049793496,0.3818353421308778,0.37791384298067826,-0.05992327836705719,1
ECR,피타고라스 정리에 의하면 직각삼각형의 빗변의 제곱은,0.3891941365834914,0.3638941832753115,0.294614906112353,-0.025299953308179912,1
ECR,The eigenvalues of a symmetric matr,0.3648499670223548,0.3105280938847312,0.30797787526479137,-0.0543218731376236,3
Sigma_MoE,Let us compute the integral of e^x ,0.44175862049793496,0.3818353421308778,0.37791384298067826,-0.05992327836705719,1
Sigma_MoE,피타고라스 정리에 의하면 직각삼각형의 빗변의 제곱은,0.3891941365834914,0.3638941832753115,0.294614906112353,-0.025299953308179912,1
Sigma_MoE,The eigenvalues of a symmetric matr,0.3648499670223548,0.3105280938847312,0.30797787526479137,-0.0543218731376236,3
BiLevel_MoE,Let us compute the integral of e^x ,0.44175862049793496,0.3818353421308778,0.37791384298067826,-0.05992327836705719,1
BiLevel_MoE,피타고라스 정리에 의하면 직각삼각형의 빗변의 제곱은,0.3891941365834914,0.3638941832753115,0.294614906112353,-0.025299953308179912,1
BiLevel_MoE,The eigenvalues of a symmetric matr,0.3648499670223548,0.3105280938847312,0.30797787526479137,-0.0543218731376236,3
RoutingFree_MoE,Let us compute the integral of e^x ,0.44175862049793496,0.3818353421308778,0.37791384298067826,-0.05992327836705719,1
RoutingFree_MoE,피타고라스 정리에 의하면 직각삼각형의 빗변의 제곱은,0.3891941365834914,0.3638941832753115,0.294614906112353,-0.025299953308179912,1
RoutingFree_MoE,The eigenvalues of a symmetric matr,0.3648499670223548,0.3105280938847312,0.30797787526479137,-0.0543218731376236,3
Nomadic_NoDx,Let us compute the integral of e^x ,0.44175862049793496,0.3818353421308778,0.37791384298067826,-0.05992327836705719,1
Nomadic_NoDx,피타고라스 정리에 의하면 직각삼각형의 빗변의 제곱은,0.3891941365834914,0.3638941832753115,0.294614906112353,-0.025299953308179912,1
Nomadic_NoDx,The eigenvalues of a symmetric matr,0.3648499670223548,0.3105280938847312,0.30797787526479137,-0.0543218731376236,3
Nomadic_NoEnv,Let us compute the integral of e^x ,0.44175862049793496,0.3818353421308778,0.37791384298067826,-0.05992327836705719,1
Nomadic_NoEnv,피타고라스 정리에 의하면 직각삼각형의 빗변의 제곱은,0.3891941365834914,0.3638941832753115,0.294614906112353,-0.025299953308179912,1
Nomadic_NoEnv,The eigenvalues of a symmetric matr,0.3648499670223548,0.3105280938847312,0.30797787526479137,-0.0543218731376236,3
Nomadic_NoErr,Let us compute the integral of e^x ,0.44175862049793496,0.3818353421308778,0.37791384298067826,-0.05992327836705719,1
Nomadic_NoErr,피타고라스 정리에 의하면 직각삼각형의 빗변의 제곱은,0.3891941365834914,0.3638941832753115,0.294614906112353,-0.025299953308179912,1
Nomadic_NoErr,The eigenvalues of a symmetric matr,0.3648499670223548,0.3105280938847312,0.30797787526479137,-0.0543218731376236,3
