model,domain,n_tokens,convergence_step,final_phi_mean,decay_rate
Vanilla,math,410,410,0.2359761984609976,0.0018233584198325617
Vanilla,code,354,354,0.21315188768883825,0.002181554369695773
Vanilla,language,314,314,0.22205749047654016,0.002249233065745531
Nomadic_Blind,math,410,410,0.2359761984609976,0.0018233584198325617
Nomadic_Blind,code,354,354,0.21315188768883825,0.002181554369695773
Nomadic_Blind,language,314,314,0.22205749047654016,0.002249233065745531
Nomadic_Full,math,410,410,0.2359761984609976,0.0018233584198325617
Nomadic_Full,code,354,354,0.21315188768883825,0.002181554369695773
Nomadic_Full,language,314,314,0.22205749047654016,0.002249233065745531
MoD,math,410,410,0.2359761984609976,0.0018233584198325617
MoD,code,354,354,0.21315188768883825,0.002181554369695773
MoD,language,314,314,0.22205749047654016,0.002249233065745531
ECR,math,410,410,0.2359761984609976,0.0018233584198325617
ECR,code,354,354,0.21315188768883825,0.002181554369695773
ECR,language,314,314,0.22205749047654016,0.002249233065745531
Sigma_MoE,math,410,410,0.2359761984609976,0.0018233584198325617
Sigma_MoE,code,354,354,0.21315188768883825,0.002181554369695773
Sigma_MoE,language,314,314,0.22205749047654016,0.002249233065745531
BiLevel_MoE,math,410,410,0.2359761984609976,0.0018233584198325617
BiLevel_MoE,code,354,354,0.21315188768883825,0.002181554369695773
BiLevel_MoE,language,314,314,0.22205749047654016,0.002249233065745531
RoutingFree_MoE,math,410,410,0.2359761984609976,0.0018233584198325617
RoutingFree_MoE,code,354,354,0.21315188768883825,0.002181554369695773
RoutingFree_MoE,language,314,314,0.22205749047654016,0.002249233065745531
Nomadic_NoDx,math,410,410,0.2359761984609976,0.0018233584198325617
Nomadic_NoDx,code,354,354,0.21315188768883825,0.002181554369695773
Nomadic_NoDx,language,314,314,0.22205749047654016,0.002249233065745531
Nomadic_NoEnv,math,410,410,0.2359761984609976,0.0018233584198325617
Nomadic_NoEnv,code,354,354,0.21315188768883825,0.002181554369695773
Nomadic_NoEnv,language,314,314,0.22205749047654016,0.002249233065745531
Nomadic_NoErr,math,410,410,0.2359761984609976,0.0018233584198325617
Nomadic_NoErr,code,354,354,0.21315188768883825,0.002181554369695773
Nomadic_NoErr,language,314,314,0.22205749047654016,0.002249233065745531
