model,prompt_head,pre_mean_dx,lure_mean_dx,post_mean_dx,lure_spike,recovery_steps
Nomadic_Full,Let us compute the integral of e^x ,0.46369831434318,0.5096651024288601,0.44304680136533886,0.04596678808568011,2
Nomadic_Full,피타고라스 정리에 의하면 직각삼각형의 빗변의 제곱은,0.5266713264087836,0.5143396314233541,0.45464633852243425,-0.012331694985429409,1
Nomadic_Full,The eigenvalues of a symmetric matr,0.539929919441541,0.48307247202971887,0.4781160759074347,-0.05685744741182214,1
Nomadic_NoDx,Let us compute the integral of e^x ,0.46369831434318,0.5096651024288601,0.44304680136533886,0.04596678808568011,2
Nomadic_NoDx,피타고라스 정리에 의하면 직각삼각형의 빗변의 제곱은,0.5266713264087836,0.5143396314233541,0.45464633852243425,-0.012331694985429409,1
Nomadic_NoDx,The eigenvalues of a symmetric matr,0.539929919441541,0.48307247202971887,0.4781160759074347,-0.05685744741182214,1
Nomadic_NoEnv,Let us compute the integral of e^x ,0.46369831434318,0.5096651024288601,0.44304680136533886,0.04596678808568011,2
Nomadic_NoEnv,피타고라스 정리에 의하면 직각삼각형의 빗변의 제곱은,0.5266713264087836,0.5143396314233541,0.45464633852243425,-0.012331694985429409,1
Nomadic_NoEnv,The eigenvalues of a symmetric matr,0.539929919441541,0.48307247202971887,0.4781160759074347,-0.05685744741182214,1
Nomadic_NoErr,Let us compute the integral of e^x ,0.46369831434318,0.5096651024288601,0.44304680136533886,0.04596678808568011,2
Nomadic_NoErr,피타고라스 정리에 의하면 직각삼각형의 빗변의 제곱은,0.5266713264087836,0.5143396314233541,0.45464633852243425,-0.012331694985429409,1
Nomadic_NoErr,The eigenvalues of a symmetric matr,0.539929919441541,0.48307247202971887,0.4781160759074347,-0.05685744741182214,1
