model,latency_ms,tokens_per_sec,est_flops,avg_tokens
Vanilla,118.48230130611655,8.440079140968958,445312802816.0,49.0
Nomadic_Blind,123.87743777552325,8.072495022437764,445312802816.0,49.0
Nomadic_Full,279.4006555510276,3.5790896694740395,445312802816.0,49.0
MoD,128.67989122449737,7.771221986011667,445312802816.0,49.0
ECR,269.70329722449344,3.7077781777801517,445312802816.0,49.0
Sigma_MoE,729.8506971632638,1.3701432414311214,445312802816.0,49.0
BiLevel_MoE,195.1930174795869,5.123134079322409,445312802816.0,49.0
RoutingFree_MoE,297.30487933672094,3.36355058202317,445312802816.0,49.0
Nomadic_NoDx,124.68047625509139,8.020501925179971,445312802816.0,49.0
Nomadic_NoEnv,132.76398313401964,7.532163288858544,440768794624.0,48.5
Nomadic_NoErr,275.74002916326765,3.626604388780566,445312802816.0,49.0
