model,density,mean_dx,mean_conf,corr_dx_conf
Vanilla,dense,0.4617605308691661,0.2662760416666667,-0.9992877016243175
Vanilla,sparse,0.3826225896676381,0.2916666666666667,-0.9859635984469858
DynamicTemp,dense,0.4617605308691661,0.2662760416666667,-0.9992877016243175
DynamicTemp,sparse,0.3826225896676381,0.2916666666666667,-0.9859635984469858
StaticLoRA,dense,0.4617605308691661,0.2662760416666667,-0.9992877016243175
StaticLoRA,sparse,0.3826225896676381,0.2916666666666667,-0.9859635984469858
FixedRouting,dense,0.4617605308691661,0.2662760416666667,-0.9992877016243175
FixedRouting,sparse,0.3826225896676381,0.2916666666666667,-0.9859635984469858
Nomadic_NoDx,dense,0.4617605308691661,0.2662760416666667,-0.9992877016243175
Nomadic_NoDx,sparse,0.3826225896676381,0.2916666666666667,-0.9859635984469858
