model,domain,convergence_step,final_phi_mean,decay_rate
Vanilla,math,0,0.46161435842514037,0.00016516731952599816
Vanilla,code,0,0.6305406570434571,0.0012434315903691441
Vanilla,language,60,0.396230137348175,-0.00046745835979156175
DynamicTemp,math,0,0.46161435842514037,0.00016516731952599816
DynamicTemp,code,0,0.6305406570434571,0.0012434315903691441
DynamicTemp,language,60,0.396230137348175,-0.00046745835979156175
StaticLoRA,math,0,0.46161435842514037,0.00016516731952599816
StaticLoRA,code,0,0.6305406570434571,0.0012434315903691441
StaticLoRA,language,60,0.396230137348175,-0.00046745835979156175
FixedRouting,math,0,0.46161435842514037,0.00016516731952599816
FixedRouting,code,0,0.6305406570434571,0.0012434315903691441
FixedRouting,language,60,0.396230137348175,-0.00046745835979156175
Nomadic_NoDx,math,0,0.46161435842514037,0.00016516731952599816
Nomadic_NoDx,code,0,0.6305406570434571,0.0012434315903691441
Nomadic_NoDx,language,60,0.396230137348175,-0.00046745835979156175
