model,domain,phase,prompt,mean_entropy,std_entropy,perplexity,repeat_rate,switch_rate,mean_dx
Vanilla,math,stable,24를 6으로 나누면,1.1134984334309894,0.3193592627644422,2.3160856409091415,0.24822695035460993,0.0,0.0
Vanilla,math,stable,The square root of 144 is,0.9737721761067709,0.2571675724920328,1.9845732270919447,0.2753623188405797,0.0,0.0
Vanilla,math,stable,"If x + 5 = 12, then x =",1.0494528611501057,0.3318998472281657,1.9893892106578868,0.11111111111111112,0.0,0.0
Vanilla,math,stable,원의 넓이 공식은 πr²이다. 반지름이 3이면 넓이는,1.2475624209061047,0.7530041518793547,3.7517097243839435,0.05189370161121576,0.0,0.0
Vanilla,math,stable,"등차수열 2, 5, 8, 11의 다음 항은",1.1039917257097032,0.8473947320581038,2.948023426681719,0.0,0.0,0.0
Vanilla,math,stable,The limit of (sin x)/x as x→0 is,1.5440508524576824,0.1224520902482566,3.1439717830109095,0.1730769230769231,0.0,0.0
Vanilla,math,stable,2^10 =,0.9769490559895834,0.272482337411294,1.8931603063865952,0.1627906976744186,0.0,0.0
Vanilla,math,stable,"행렬 [[1,0],[0,1]]의 행렬식(determinant)은",0.835089111328125,0.1819483617451385,1.6577733381229274,0.1149425287356322,0.0,0.0
Vanilla,math,stable,The sum of angles in a hexagon is,1.2379486083984375,0.14812391379064763,2.364940551320419,0.14583333333333334,0.0,0.0
Vanilla,math,stable,e^0 =,1.9725677490234375,0.1892027078387354,4.905723987399151,0.0468807678110004,0.0,0.0
Vanilla,code,stable,"# 피보나치 수열
def fib(n):
    if n <= 1: return n
    ",0.6894078572591146,0.10282907510832784,1.5137672240985898,0.10052910052910054,0.0,0.0
Vanilla,code,stable,"const greeting = (name) => `Hello,",1.1025817235310873,0.0713103610329069,1.9361111595602287,0.20408163265306126,0.0,0.0
Vanilla,code,stable,"try:
    result = 10 / 0
except ZeroDivisionError:",1.2748336791992188,0.17042823118158418,2.4630707871919757,0.10415263748597085,0.0,0.0
Vanilla,code,stable,<html><body><h1>Hello</h1></body></,1.295659171210395,0.4127376062184809,2.352839416728148,0.0,0.0,0.0
Vanilla,code,stable,"df = pd.DataFrame({'a': [1,2,3]})
df['b'] = df['a'",0.770532735188802,0.051712970687052086,1.5613188071917008,0.21693121693121695,0.0,0.0
Vanilla,code,stable,"from collections import Counter
Counter('aabbcc') ",0.5012938817342123,0.10516946038230549,1.3868465814800472,0.28104575163398693,0.0,0.0
Vanilla,code,stable,"with open('file.txt', 'r') as f:
    content =",0.8372926500108506,0.22926820901529613,1.5964148457155751,0.2845248349124318,0.0,0.0
Vanilla,code,stable,"import re
re.findall(r'\d+', 'abc123def456') ==",1.0161473592122396,0.36469166003176356,1.9542153783477254,0.18296169239565466,0.0,0.0
Vanilla,code,stable,threading.Thread(target=worker).start()  #,2.0579996216348753,0.5947555483494413,5.6708805445513875,0.026666666666666655,0.0,0.0
Vanilla,code,stable,"np.linspace(0, 1, 5) ==",0.7242946624755859,0.30853289224803165,1.4158408147698234,0.26143790849673204,0.0,0.0
Vanilla,language,transition,"바람이 부는 날, 그는 오래된 편지를",2.021410369873047,0.09169783303627554,4.46951814190773,0.012820512820512811,0.0,0.0
Vanilla,language,transition,The paradox of freedom is that,1.894970703125,0.08421998619347172,4.424998158110923,0.0148148148148148,0.0,0.0
Vanilla,language,transition,만약 내가 다시 태어난다면,2.2041727701822915,0.10150121359896948,5.694227963930907,0.14184397163120566,0.0,0.0
Vanilla,language,transition,"In the silence between words, there is",2.2293624877929688,0.219460409172297,5.379162389360064,0.05890464933018125,0.0,0.0
Vanilla,language,transition,존재한다는 것의 의미를 묻는다면,1.6754267374674479,0.15786891161078276,3.5700623184245424,0.2549019607843137,0.0,0.0
Vanilla,language,transition,"고요한 새벽, 그녀는 창밖을 바라보며",1.7228636423746746,0.5920688752098815,4.769177387105821,0.16981132075471697,0.0,0.0
