model,condition,mean_entropy,perplexity
Vanilla,clean,0.4788967991057767,1.2857647597315371
Vanilla,noisy,0.7891932953700819,1.7084380135839274
DynamicTemp,clean,0.20935334815398013,1.2864189567492783
DynamicTemp,noisy,0.331047854993004,1.4791385735014744
StaticLoRA,clean,0.4009276284277439,1.2703960191081585
StaticLoRA,noisy,0.30801496211439366,1.2315269041367602
FixedRouting,clean,0.4737566142735886,1.2780381100730462
FixedRouting,noisy,0.635801217034459,1.6630223913580031
Nomadic_NoDx,clean,0.06709995170650959,1.0825756646897629
Nomadic_NoDx,noisy,0.12657436098968206,1.1681896192722703
