model,baseline_dx,lure_spike,recovery_steps
Vanilla,0.42723104963079095,0.24274429073557258,3
Vanilla,0.36467462684959173,0.228613437153399,2
Vanilla,0.39564686513040215,0.26482785248663276,2
DynamicTemp,0.42723104963079095,0.24274429073557258,3
DynamicTemp,0.36467462684959173,0.228613437153399,2
DynamicTemp,0.39564686513040215,0.26482785248663276,2
StaticLoRA,0.42723104963079095,0.24274429073557258,3
StaticLoRA,0.36467462684959173,0.228613437153399,2
StaticLoRA,0.39564686513040215,0.26482785248663276,2
FixedRouting,0.42723104963079095,0.24274429073557258,3
FixedRouting,0.36467462684959173,0.228613437153399,2
FixedRouting,0.39564686513040215,0.26482785248663276,2
Nomadic_NoDx,0.42723104963079095,0.24274429073557258,3
Nomadic_NoDx,0.36467462684959173,0.228613437153399,2
Nomadic_NoDx,0.39564686513040215,0.26482785248663276,2
