model,density,mean_dx,mean_conf,corr_dx_conf
Vanilla,dense,0.4468659659226735,0.4407552083333333,0.3876277906509278
Vanilla,sparse,0.34078846250971156,0.4654947916666667,-0.44229753523473925
DynamicTemp,dense,0.4468659659226735,0.4407552083333333,0.3876277906509278
DynamicTemp,sparse,0.34078846250971156,0.4654947916666667,-0.44229753523473925
StaticLoRA,dense,0.4468659659226735,0.4407552083333333,0.3876277906509278
StaticLoRA,sparse,0.34078846250971156,0.4654947916666667,-0.44229753523473925
FixedRouting,dense,0.4468659659226735,0.4407552083333333,0.3876277906509278
FixedRouting,sparse,0.34078846250971156,0.4654947916666667,-0.44229753523473925
Nomadic_NoDx,dense,0.4468659659226735,0.4407552083333333,0.3876277906509278
Nomadic_NoDx,sparse,0.34078846250971156,0.4654947916666667,-0.44229753523473925
