model,domain,convergence_step,final_phi_mean,decay_rate
Vanilla,math,60,0.44782974720001223,0.002483678956095065
Vanilla,code,0,0.49078996777534484,-0.00025166232228408016
Vanilla,language,60,0.41737971901893617,0.00027682528595322786
DynamicTemp,math,60,0.44782974720001223,0.002483678956095065
DynamicTemp,code,0,0.49078996777534484,-0.00025166232228408016
DynamicTemp,language,60,0.41737971901893617,0.00027682528595322786
StaticLoRA,math,60,0.44782974720001223,0.002483678956095065
StaticLoRA,code,0,0.49078996777534484,-0.00025166232228408016
StaticLoRA,language,60,0.41737971901893617,0.00027682528595322786
FixedRouting,math,60,0.44782974720001223,0.002483678956095065
FixedRouting,code,0,0.49078996777534484,-0.00025166232228408016
FixedRouting,language,60,0.41737971901893617,0.00027682528595322786
Nomadic_NoDx,math,60,0.44782974720001223,0.002483678956095065
Nomadic_NoDx,code,0,0.49078996777534484,-0.00025166232228408016
Nomadic_NoDx,language,60,0.41737971901893617,0.00027682528595322786
