model,domain,phase,prompt,mean_entropy,std_entropy,perplexity,repeat_rate,switch_rate,mean_dx,mean_switch_prob,mean_final_switch_prob,mean_gap
Vanilla,math,stable,24를 6으로 나누면,1.4350339847698546,0.7299576866317528,4.735164685897268,0.04964539007092198,0.0,0.0,,,
Vanilla,math,stable,The square root of 144 is,1.031347147623698,0.38337249043031757,1.7334341374581757,0.31884057971014496,0.0,0.0,,,
Vanilla,math,stable,"If x + 5 = 12, then x =",0.7878112917765975,0.2122063234756433,1.4755409483751312,0.5163398692810457,0.0,0.0,,,
Vanilla,math,stable,원의 넓이 공식은 πr²이다. 반지름이 3이면 넓이는,0.7267762882103613,0.06060278835061183,1.567944697330485,0.1490748729747867,0.0,0.0,,,
Vanilla,math,stable,"등차수열 2, 5, 8, 11의 다음 항은",0.649564094013638,0.23499883410276862,1.5051006048731514,0.08620689655172413,0.0,0.0,,,
Vanilla,math,stable,The limit of (sin x)/x as x→0 is,1.4853492101033527,0.2982952020826863,2.948781005218572,0.1923076923076923,0.0,0.0,,,
Vanilla,math,stable,2^10 =,1.343109639485677,0.4768180641950744,2.243960215035944,0.11627906976744184,0.0,0.0,,,
Vanilla,math,stable,"행렬 [[1,0],[0,1]]의 행렬식(determinant)은",1.0002730051676432,0.3453302656898702,1.8237324560593546,0.12068965517241377,0.0,0.0,,,
Vanilla,math,stable,The sum of angles in a hexagon is,1.2325281699498494,0.37189461613479124,2.440996719634757,0.2638888888888889,0.0,0.0,,,
Vanilla,math,stable,e^0 =,1.5961273193359375,0.31197725449935587,3.0028862279637765,0.17054263565891473,0.0,0.0,,,
Vanilla,code,stable,"# 피보나치 수열
def fib(n):
    if n <= 1: return n
    ",0.8676165262858073,0.21815422017381642,1.8353733548183537,0.04761904761904767,0.0,0.0,,,
Vanilla,code,stable,"const greeting = (name) => `Hello,",1.2542728424072267,0.25300956902654936,3.3907136912594247,0.13605442176870744,0.0,0.0,,,
Vanilla,code,stable,"try:
    result = 10 / 0
except ZeroDivisionError:",1.150244160493215,0.11280548773684414,1.979041731938019,0.10909090909090909,0.0,0.0,,,
Vanilla,code,stable,<html><body><h1>Hello</h1></body></,0.6787634955512152,0.22987108468260592,1.6758570259596048,0.0,0.0,0.0,,,
Vanilla,code,stable,"df = pd.DataFrame({'a': [1,2,3]})
df['b'] = df['a'",0.824615224202474,0.17177174911783896,1.7030551338427617,0.15343915343915346,0.0,0.0,,,
Vanilla,code,stable,"from collections import Counter
Counter('aabbcc') ",0.4064261118570964,0.09076432108139923,1.2754999234050899,0.24183006535947713,0.0,0.0,,,
Vanilla,code,stable,"with open('file.txt', 'r') as f:
    content =",0.7808793385823568,0.1286100578928266,1.6354779665378067,0.3333333333333333,0.0,0.0,,,
Vanilla,code,stable,"import re
re.findall(r'\d+', 'abc123def456') ==",0.8204302151997883,0.23887808780553288,1.723447803337483,0.3575757575757576,0.0,0.0,,,
Vanilla,code,stable,threading.Thread(target=worker).start()  #,1.950854237874349,0.22024091617369948,5.119128503026056,0.0,0.0,0.0,,,
Vanilla,code,stable,"np.linspace(0, 1, 5) ==",0.6599286821153428,0.31410713074093743,1.6023556575325035,0.2908496732026144,0.0,0.0,,,
Vanilla,language,transition,"바람이 부는 날, 그는 오래된 편지를",2.132783317565918,0.18409067421512296,8.378393935709006,0.012820512820512811,0.0,0.0,,,
Vanilla,language,transition,The paradox of freedom is that,2.060760498046875,0.13934179905956282,4.962939664150896,0.014814814814814836,0.0,0.0,,,
Vanilla,language,transition,만약 내가 다시 태어난다면,1.9537923812866211,0.42375656938956563,5.3730046227983586,0.18455134135060128,0.0,0.0,,,
Vanilla,language,transition,"In the silence between words, there is",2.2102381388346353,0.2993807923387254,6.9999802655019705,0.06382978723404253,0.0,0.0,,,
Vanilla,language,transition,존재한다는 것의 의미를 묻는다면,1.740863037109375,0.3268897433337812,3.813037589874972,0.16339869281045752,0.0,0.0,,,
Vanilla,language,transition,"고요한 새벽, 그녀는 창밖을 바라보며",2.3531795501708985,0.12424433444086186,8.152200954779152,0.02515723270440251,0.0,0.0,,,
Vanilla,language,transition,The road not taken reminds us that,2.150252278645833,0.10306050052814854,4.200309398441191,0.02898550724637679,0.0,0.0,,,
Vanilla,language,transition,기억이란 결국,2.242230478922526,0.09234363430996223,5.676394167285795,0.05925925925925927,0.0,0.0,,,
Vanilla,language,transition,"When the last star fades,",2.3182713826497396,0.042265927160559456,7.769415102786546,0.007407407407407418,0.0,0.0,,,
Vanilla,language,transition,변하지 않는 것들에 대한 믿음은,2.2224772135416666,0.3172123674271223,7.691980992761987,0.013605442176870763,0.0,0.0,,,
DynamicTemp,math,stable,24를 6으로 나누면,0.32013244861548745,0.03705259978423771,1.4070811466553874,0.36170212765957444,0.0,0.5149019206488373,,,
DynamicTemp,math,stable,The square root of 144 is,0.6116307139396668,0.11430222328163443,1.940431974235901,0.17391304347826086,0.0,0.44131578532978893,,,
DynamicTemp,math,stable,"If x + 5 = 12, then x =",0.4486245274388542,0.16666283452076072,1.8643001250754219,0.3333333333333333,0.0,0.42957627919192115,,,
DynamicTemp,math,stable,원의 넓이 공식은 πr²이다. 반지름이 3이면 넓이는,0.4143025548558216,0.010811859289392227,1.437923073207803,0.09836065573770492,0.0,0.5131767317016299,,,
DynamicTemp,math,stable,"등차수열 2, 5, 8, 11의 다음 항은",0.3859650465245876,0.2610697625500433,1.619233980060956,0.1954022988505747,0.0,0.49530982487938474,,,
DynamicTemp,math,stable,The limit of (sin x)/x as x→0 is,0.9970210671424865,0.13738660284090454,2.894165887482069,0.09615384615384615,0.0,0.4271950224724909,,,
DynamicTemp,math,stable,2^10 =,0.6044692715009053,0.3944826012770908,2.385022633508646,0.0852713178294574,0.0,0.46106822180251283,,,
DynamicTemp,math,stable,"행렬 [[1,0],[0,1]]의 행렬식(determinant)은",0.2981533473564519,0.052926450285586166,1.2711991497969959,0.028735632183908028,0.0,0.4737120335326634,,,
DynamicTemp,math,stable,The sum of angles in a hexagon is,0.45757031440734863,0.051615605802572816,1.5789330399383406,0.2777777777777778,0.0,0.41116098899704717,,,
DynamicTemp,math,stable,e^0 =,0.8820483359197775,0.15749057385651521,2.7670352889633514,0.0852713178294574,0.0,0.46241884067033734,,,
DynamicTemp,code,stable,"# 피보나치 수열
def fib(n):
    if n <= 1: return n
    ",0.37936792282077175,0.06969361687861093,1.444462820079681,0.1216931216931217,0.0,0.528809912247137,,,
DynamicTemp,code,stable,"const greeting = (name) => `Hello,",0.6005658408006033,0.13190715353449542,1.7746613589377855,0.04761904761904764,0.0,0.5654435329604893,,,
DynamicTemp,code,stable,"try:
    result = 10 / 0
except ZeroDivisionError:",0.574941291163365,0.1035154790685445,1.6908957891238325,0.10303030303030307,0.0,0.46798599146616954,,,
DynamicTemp,code,stable,<html><body><h1>Hello</h1></body></,0.4669596354530465,0.13511447934782012,1.4464441062492657,0.0,0.0,0.4103971852196588,,,
DynamicTemp,code,stable,"df = pd.DataFrame({'a': [1,2,3]})
df['b'] = df['a'",0.4491815856133384,0.1250687683773982,1.657430194714182,0.16179064218279904,0.0,0.5415428773894098,,,
DynamicTemp,code,stable,"from collections import Counter
Counter('aabbcc') ",0.17127645953247947,0.02195608264585716,1.1147181485030888,0.3398692810457516,0.0,0.4918398473178968,,,
DynamicTemp,code,stable,"with open('file.txt', 'r') as f:
    content =",0.596568084289046,0.2566289043244271,2.2719348974506697,0.14074074074074072,0.0,0.5926068947045589,,,
DynamicTemp,code,stable,"import re
re.findall(r'\d+', 'abc123def456') ==",0.3365948047649501,0.13337171815261714,1.5532145032312197,0.23819591261451725,0.0,0.5152214322878107,,,
DynamicTemp,code,stable,threading.Thread(target=worker).start()  #,0.5511177964508533,0.04638475306257759,1.614501453226555,0.2333333333333333,0.0,0.5039906738636395,,,
DynamicTemp,code,stable,"np.linspace(0, 1, 5) ==",0.5788371192084418,0.3260547711979979,1.945659073506688,0.2875816993464052,0.0,0.5277358052320779,,,
DynamicTemp,language,transition,"바람이 부는 날, 그는 오래된 편지를",1.1086005846659341,0.07338300061035843,3.4154510332035293,0.02564102564102566,0.0,0.4770331873248021,,,
DynamicTemp,language,transition,The paradox of freedom is that,1.1611381409068902,0.1330029421316173,3.758731501844028,0.16296296296296298,0.0,0.4619687501341105,,,
DynamicTemp,language,transition,만약 내가 다시 태어난다면,1.1019078462093603,0.393656484338531,4.855245791175718,0.07092198581560283,0.0,0.5203970317418376,,,
DynamicTemp,language,transition,"In the silence between words, there is",1.3046056111653646,0.14887666168730349,3.4910392841467037,0.09219858156028367,0.0,0.44661420763780674,,,
DynamicTemp,language,transition,존재한다는 것의 의미를 묻는다면,0.8424354712168375,0.08028930604652555,2.800790741627271,0.24183006535947713,0.0,0.4325806684792042,,,
DynamicTemp,language,transition,"고요한 새벽, 그녀는 창밖을 바라보며",1.2900077978769937,0.1570252211739557,3.562299138626441,0.05031446540880502,0.0,0.5058256005557874,,,
DynamicTemp,language,transition,The road not taken reminds us that,1.2485169808069865,0.052353820124502445,4.948497979668207,0.007246376811594198,0.0,0.47605684002240495,,,
DynamicTemp,language,transition,기억이란 결국,1.4194913983345032,0.2527755593073783,6.20186781901656,0.11851851851851851,0.0,0.4921045724612971,,,
DynamicTemp,language,transition,"When the last star fades,",1.1332931458950044,0.15023961040454314,3.2428852602937774,0.13333333333333333,0.0,0.4396127774690588,,,
DynamicTemp,language,transition,변하지 않는 것들에 대한 믿음은,1.0408865551153819,0.35592361278190193,3.1552968203886294,0.18367346938775508,0.0,0.46732410558809834,,,
StaticLoRA,math,stable,24를 6으로 나누면,0.44043759368360047,0.24038243375782803,1.2986893001225446,0.23404255319148937,0.0,0.0,,,
StaticLoRA,math,stable,The square root of 144 is,0.4601735722982539,0.404909636821243,1.3177994357847298,0.5217391304347826,0.0,0.0,,,
StaticLoRA,math,stable,"If x + 5 = 12, then x =",0.19782666902625734,0.07553427581893467,1.1281731607330128,0.2352941176470588,0.0,0.0,,,
StaticLoRA,math,stable,원의 넓이 공식은 πr²이다. 반지름이 3이면 넓이는,0.33520161069254756,0.11608388441013516,1.2516786700932825,0.360655737704918,0.0,0.0,,,
StaticLoRA,math,stable,"등차수열 2, 5, 8, 11의 다음 항은",0.27713052224714074,0.14828776015912842,1.131553580477129,0.2471264367816092,0.0,0.0,,,
StaticLoRA,math,stable,The limit of (sin x)/x as x→0 is,0.43553103708689583,0.04948483501777687,1.2118318258383038,0.1858974358974359,0.0,0.0,,,
StaticLoRA,math,stable,2^10 =,0.2863455869226293,0.19921782905267582,1.1646814589053642,0.0930232558139535,0.0,0.0,,,
