model,condition,mean_entropy,perplexity
Vanilla,clean,0.8113363503416379,1.5179640695071397
Vanilla,noisy,0.5566667688751241,1.3520104601758682
DynamicTemp,clean,0.33340033091788374,1.505363713343824
DynamicTemp,noisy,0.39552251114349934,1.436109210752589
StaticLoRA,clean,0.48057441214882984,1.4375188303674167
StaticLoRA,noisy,0.5338372682966377,1.5688736552475089
FixedRouting,clean,0.7374193864315748,1.7326877460584527
FixedRouting,noisy,0.8484302134811879,1.5453688729955348
Nomadic_NoDx,clean,0.08879724585156705,1.0869798259446972
Nomadic_NoDx,noisy,0.12269244275695372,1.15406513277779
