model,domain,phase,prompt,mean_entropy,std_entropy,perplexity,repeat_rate,switch_rate,mean_dx,mean_switch_prob,mean_final_switch_prob,mean_gap
Nomadic_Full_V2,math,stable,24를 6으로 나누면,0.37687062930005294,0.08214647479833398,1.5530627323757618,0.12056737588652482,0.375,0.580021194319003,0.4888936154049588,0.5172066065131184,0.13275634765625
Nomadic_Full_V2,math,stable,The square root of 144 is,0.3330276738845356,0.08876909924509997,1.588337838760151,0.27536231884057966,0.3499999999999999,0.5816910586009423,0.440279700176787,0.47040405322236617,0.09344807942708333
Nomadic_Full_V2,math,stable,"If x + 5 = 12, then x =",0.30968580685263686,0.0686226398614515,1.521088211664706,0.2745098039215686,0.2833333333333334,0.5307436708360911,0.4298872711364538,0.4524487836122089,0.07051737467447916
Nomadic_Full_V2,math,stable,원의 넓이 공식은 πr²이다. 반지름이 3이면 넓이는,0.354274444974603,0.212970334466124,1.472859922816377,0.25422846734322146,0.356060606060606,0.5853794745197801,0.45271793921957865,0.4724580799549912,0.062217684659090916
Nomadic_Full_V2,math,stable,"등차수열 2, 5, 8, 11의 다음 항은",0.8163172590691304,0.0066311632732981105,2.352915751895166,0.04542966611932131,0.51259559154296,0.5928490179082696,0.5332613050802542,0.5819557140285352,0.20432225826673553
Nomadic_Full_V2,math,stable,The limit of (sin x)/x as x→0 is,0.4362591138781378,0.11001349638245093,1.5925204926177692,0.08333333333333333,0.3,0.5298624523729814,0.39895812899048905,0.4227839392126689,0.12713541666666667
Nomadic_Full_V2,math,stable,2^10 =,0.2201358735485883,0.10383172376134148,1.2491891709769858,0.3255813953488372,0.25,0.5785686867932479,0.2914873522838813,0.31323278628350054,0.06785319010416667
Nomadic_Full_V2,math,stable,"행렬 [[1,0],[0,1]]의 행렬식(determinant)은",0.647451744907024,0.17063726532920837,1.9181818288934156,0.0704022988505747,0.38333333333333336,0.5598477919896443,0.430374090157117,0.4634156323862222,0.143804931640625
Nomadic_Full_V2,math,stable,The sum of angles in a hexagon is,0.30377362593710583,0.07392480545474413,1.2866182970369597,0.2916666666666667,0.25833333333333336,0.537052063147227,0.33602383299245653,0.34358228192574836,0.059614257812500016
Nomadic_Full_V2,math,stable,e^0 =,0.3918908385443502,0.2075551822080964,1.4683067738443751,0.36434108527131787,0.18333333333333335,0.5308859430253505,0.24395315872605652,0.24481057015043003,0.06968465169270835
Nomadic_Full_V2,code,stable,"# 피보나치 수열
def fib(n):
    if n <= 1: return n
    ",0.3337711451014644,0.03578022115201189,1.418603029771855,0.07711640211640214,0.21851851851851847,0.5650744078611887,0.30316345301048214,0.3111134391955788,0.08263486508969908
Nomadic_Full_V2,code,stable,"const greeting = (name) => `Hello,",0.28827531368863407,0.07227810417924345,1.3154109842012331,0.020408163265306107,0.15833333333333335,0.5668560912211736,0.2274115463565977,0.23821949714819934,0.07258951822916666
Nomadic_Full_V2,code,stable,"try:
    result = 10 / 0
except ZeroDivisionError:",0.43666437747112163,0.03189134053362504,1.4777937641806627,0.07454545454545458,0.06759259259259259,0.510095286503848,0.17299969725367934,0.1754019428510388,0.10499306007667823
Nomadic_Full_V2,code,stable,<html><body><h1>Hello</h1></body></,0.17253282335069442,0.052470990666661256,1.7470079739691926,0.0,0.0,0.4341579079627991,0.02714894453270568,0.005343338022582861,0.21067708333333335
Nomadic_Full_V2,code,stable,"df = pd.DataFrame({'a': [1,2,3]})
df['b'] = df['a'",0.33867203690331554,0.14586350142150475,1.5818665175782278,0.05820105820105822,0.19074074074074074,0.5587506207051102,0.18473005102359483,0.20723313067451551,0.16442319516782405
Nomadic_Full_V2,code,stable,"from collections import Counter
Counter('aabbcc') ",0.2724001913865019,0.07194602638386513,1.2889407417184877,0.21568627450980393,0.06666666666666667,0.5521958818038305,0.10712687408698306,0.11841390060576933,0.07237386067708333
Nomadic_Full_V2,code,stable,"with open('file.txt', 'r') as f:
    content =",0.24740876179469828,0.017964616681208776,1.1919501310790892,0.21604938271604937,0.05833333333333334,0.5458627364287774,0.11338866249837642,0.11122250246734926,0.12064697265625
Nomadic_Full_V2,code,stable,"import re
re.findall(r'\d+', 'abc123def456') ==",0.2795421413838555,0.11319926001194193,1.3040208347686093,0.2988019732205779,0.039655172413793106,0.5417824694951033,0.10534381177564274,0.11006295263103848,0.0680120779454023
Nomadic_Full_V2,code,stable,threading.Thread(target=worker).start()  #,0.24123375663541702,0.010356357128016915,1.2613237014843073,0.1250531914893617,0.10922959572845155,0.5171860855311605,0.2105400085944894,0.21172362135303638,0.0624586618337624
Nomadic_Full_V2,code,stable,"np.linspace(0, 1, 5) ==",0.15074031097258367,0.02142868897726554,1.1875636637849274,0.2679738562091503,0.05833333333333333,0.520642957999371,0.1178762695486512,0.1371966528184401,0.045358072916666665
Nomadic_Full_V2,language,transition,"바람이 부는 날, 그는 오래된 편지를",0.3773147885862273,0.1311227452526111,1.7138092411200152,0.2820512820512821,0.2916666666666667,0.5752212333182495,0.3687189369190795,0.3895192906361582,0.1436029052734375
